time_point,group,subject,rank,rearing,sex,age,task,trial_time_point,code
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,7,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,8,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,7,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,8,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,9,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,9,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,10,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,11,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,10,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,11,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,12,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,12,1
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,3,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,4,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,5,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,6,0
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,1,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,2,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,3,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,4,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,5,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,6,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,7,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,8,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,9,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,10,1
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,11,0
5,gorilla,kumili,3,mother,f,16.747433264887064,quantity,12,1
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_place,1,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_place,2,1
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_place,3,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_place,4,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,1,1
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,2,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,3,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,4,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,5,1
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,6,1
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,7,0
5,gorilla,kumili,3,mother,f,16.747433264887064,switching_feature,8,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,7,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,8,0
5,gorilla,kio,6,mother,m,2.8774811772758384,gaze_following,1,0
5,gorilla,kio,6,mother,m,2.8774811772758384,gaze_following,2,0
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,1,1
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,1,1
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,2,0
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,2,1
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,3,0
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,3,0
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,4,1
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,4,0
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,5,1
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,5,0
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,6,0
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,6,1
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,7,1
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,8,1
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,7,0
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,8,1
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,9,0
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,9,0
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,10,1
5,gorilla,kio,6,mother,m,2.8774811772758384,causality,11,0
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,10,1
5,gorilla,kio,6,mother,m,2.8774811772758384,inference,11,0
